	 0% SM failures	10% SM failures	20% SM failures	30% SM failures	40% SM failures
100	0.212992	0.192512	0.172032	0.151552	0.131072
200	0.417792	0.376832	0.335872	0.294912	0.253952
300	0.622592	0.561152	0.499712	0.438272	0.376832
400	0.827392	0.745472	0.663552	0.581632	0.499712
500	1.032192	0.929792	0.827392	0.724992	0.622592
600	1.236992	1.114112	0.991232	0.868352	0.745472
700	1.441792	1.298432	1.155072	1.011712	0.868352
800	1.646592	1.482752	1.318912	1.155072	0.991232
900	1.851392	1.667072	1.482752	1.298432	1.114112
1000	2.056192	1.851392	1.646592	1.441792	1.236992
